time, node0_(3), node0_(2), node1_(3), node1_(2), node2_(3), node2_(2), node3_(3), node3_(2)
444, 56, 62, 2, 32, 0, 0, 0, 0
445, 58, 62, 2, 34, 0, 0, 0, 0
446, 59, 61, 2, 36, 0, 0, 0, 0
447, 59, 59, 2, 34, 0, 2, 0, 0
448, 60, 58, 2, 32, 0, 4, 0, 0
449, 61, 57, 2, 30, 0, 6, 0, 0
450, 63, 57, 2, 28, 0, 8, 0, 0
451, 65, 57, 2, 26, 0, 10, 0, 0
452, 65, 55, 2, 24, 0, 12, 0, 0
453, 65, 53, 2, 22, 0, 14, 0, 0
454, 65, 51, 2, 20, 0, 16, 0, 0
455, 65, 49, 2, 18, 0, 18, 0, 0
456, 66, 52, 2, 16, 0, 16, 0, 0
457, 66, 54, 2, 14, 0, 14, 0, 0
458, 67, 57, 2, 12, 0, 12, 0, 0
459, 67, 59, 2, 10, 0, 10, 0, 0
460, 68, 62, 2, 8, 0, 8, 0, 0
461, 70, 66, 2, 6, 0, 6, 0, 0
462, 68, 70, 6, 4, 0, 4, 0, 0
463, 65, 73, 10, 4, 0, 0, 0, 0
464, 61, 75, 14, 2, 0, 0, 0, 0
465, 58, 78, 18, 0, 0, 0, 0, 0
466, 59, 79, 18, 0, 0, 0, 0, 0
467, 59, 79, 18, 0, 0, 0, 0, 0
468, 63, 83, 18, 0, 0, 0, 0, 0
469, 64, 84, 18, 0, 0, 0, 0, 0
470, 64, 84, 18, 0, 0, 0, 0, 0
471, 67, 87, 18, 0, 0, 0, 0, 0
472, 68, 88, 18, 0, 0, 0, 0, 0
473, 69, 89, 18, 0, 0, 0, 0, 0
474, 69, 89, 18, 0, 0, 0, 0, 0
475, 69, 89, 18, 0, 0, 0, 0, 0
476, 66, 90, 18, 0, 0, 0, 0, 0
477, 62, 90, 18, 0, 0, 0, 0, 0
478, 59, 91, 18, 0, 0, 0, 0, 0
479, 55, 91, 18, 0, 0, 0, 0, 0
480, 53, 93, 18, 0, 0, 0, 0, 0
481, 50, 94, 18, 0, 0, 0, 0, 0
482, 47, 95, 18, 0, 0, 0, 0, 0
483, 48, 96, 14, 0, 0, 0, 0, 0
484, 48, 96, 10, 0, 0, 0, 0, 0
485, 50, 98, 6, 0, 0, 0, 0, 0
486, 50, 96, 2, 2, 0, 0, 0, 0
487, 51, 95, 2, 4, 0, 0, 0, 0
488, 51, 93, 2, 6, 0, 0, 0, 0
489, 52, 92, 2, 8, 0, 0, 0, 0
490, 52, 90, 2, 10, 0, 0, 0, 0
491, 52, 88, 2, 12, 0, 0, 0, 0
492, 53, 87, 2, 14, 0, 0, 0, 0
493, 54, 86, 2, 16, 0, 0, 0, 0
494, 56, 86, 2, 18, 0, 0, 0, 0
495, 56, 84, 2, 20, 0, 0, 0, 0
496, 57, 83, 2, 22, 0, 0, 0, 0
497, 57, 81, 2, 24, 0, 0, 0, 0
498, 58, 80, 2, 26, 0, 0, 0, 0
499, 58, 78, 2, 28, 0, 0, 0, 0
500, 58, 76, 2, 30, 0, 0, 0, 0
501, 60, 76, 2, 32, 0, 0, 0, 0
502, 60, 74, 2, 34, 0, 0, 0, 0
503, 61, 69, 2, 40, 0, 0, 0, 0
504, 62, 68, 2, 42, 0, 0, 0, 0
505, 64, 68, 2, 44, 0, 0, 0, 0
506, 66, 68, 2, 46, 0, 0, 0, 0
507, 66, 66, 2, 48, 0, 0, 0, 0
508, 70, 68, 2, 46, 0, 0, 0, 0
509, 71, 67, 2, 44, 0, 0, 0, 0
510, 72, 66, 2, 42, 0, 0, 0, 0
511, 73, 65, 2, 40, 0, 0, 0, 0
512, 75, 65, 2, 38, 0, 0, 0, 0
513, 78, 66, 2, 36, 0, 0, 0, 0
514, 79, 65, 2, 34, 0, 0, 0, 0
515, 80, 64, 2, 32, 0, 0, 0, 0
516, 81, 63, 2, 30, 0, 0, 0, 0
517, 85, 65, 2, 28, 0, 0, 0, 0
518, 86, 64, 2, 26, 0, 0, 0, 0
519, 88, 64, 2, 24, 0, 0, 0, 0
520, 89, 63, 2, 22, 0, 0, 0, 0
521, 90, 62, 2, 20, 0, 0, 0, 0
522, 90, 60, 2, 18, 0, 0, 0, 0
523, 90, 58, 2, 16, 0, 0, 0, 0
524, 86, 56, 6, 14, 0, 0, 0, 0
525, 82, 54, 10, 12, 0, 0, 0, 0
